area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance
900,4,6,8,-,acept,not furnished,0,15000,4417,226
34,1,1,0,5,not acept,not furnished,347,1200,45,16
192,3,4,3,5,acept,not furnished,2000,8000,0,102
62,2,2,1,9,acept,not furnished,350,1800,75,27
180,3,3,4,-,acept,not furnished,0,3700,184,56
44,1,1,0,3,acept,furnished,350,916,12,12
100,2,1,1,1,not acept,not furnished,250,1700,116,23
140,3,3,1,24,not acept,not furnished,900,1370,100,18
170,3,3,3,8,acept,furnished,1570,2800,648,36
100,3,2,2,-,not acept,not furnished,0,1600,150,25
75,3,2,2,4,acept,not furnished,652,1600,82,21
52,2,1,0,2,acept,not furnished,200,1200,43,16
999,5,7,8,-,acept,not furnished,0,14000,667,211
270,4,4,4,8,acept,not furnished,2200,7000,1500,89
50,2,1,1,1,acept,not furnished,160,930,60,13
200,3,3,2,-,acept,not furnished,650,2210,184,34
71,2,2,0,16,acept,not furnished,430,1920,100,25
500,5,4,6,-,acept,not furnished,0,13000,250,196
60,2,1,0,-,acept,not furnished,0,1080,94,17
110,2,1,0,8,acept,not furnished,1100,1300,84,17
210,3,3,4,-,acept,not furnished,0,3294,276,50
220,3,4,3,8,acept,not furnished,2021,6000,996,77
200,3,2,5,-,not acept,not furnished,0,4000,204,66
130,3,4,3,2,acept,not furnished,2300,4250,502,54
65,2,2,2,7,acept,furnished,1037,4000,245,51
96,3,2,2,17,acept,not furnished,804,3200,250,41
660,4,5,5,12,acept,furnished,4800,20000,1750,254
107,3,2,0,7,acept,furnished,1460,3200,270,42
105,3,2,0,1,acept,not furnished,740,2200,9,29
100,3,2,0,7,acept,not furnished,900,3290,109,43
287,3,4,4,-,acept,furnished,0,9000,430,136
24,1,1,0,1,not acept,furnished,230,1180,9,15
22,1,1,0,-,not acept,not furnished,0,976,0,15
70,1,1,1,-,not acept,not furnished,0,2529,142,39
44,1,1,1,2,acept,furnished,250,1500,17,22
150,3,2,2,-,not acept,not furnished,0,2500,0,38
90,1,2,2,9,acept,furnished,998,2900,220,37
200,4,4,2,8,acept,furnished,3000,2800,830,36
320,8,4,0,-,acept,not furnished,450,10500,350,158
90,2,1,1,2,not acept,not furnished,550,1700,110,25
240,4,4,3,9,acept,not furnished,2500,2144,834,28
154,4,3,3,21,acept,not furnished,1684,7000,1020,89
60,2,2,2,2,acept,not furnished,2340,3230,284,41
101,3,2,0,5,acept,not furnished,780,2380,91,31
140,3,4,2,-,not acept,not furnished,0,3090,0,55
500,4,5,8,-,acept,not furnished,0,15000,1850,226
110,3,3,3,4,acept,not furnished,1195,2350,687,30
110,3,3,2,-,acept,not furnished,0,4800,50,73
90,2,2,2,3,acept,not furnished,200,2000,84,27
384,4,6,4,3,not acept,furnished,3500,15000,344,191
57,2,1,1,7,acept,not furnished,570,1500,67,20
160,3,3,2,5,acept,furnished,1650,1500,419,20
39,1,1,0,8,acept,not furnished,330,1250,19,16
78,1,2,1,4,acept,not furnished,0,2290,143,30
36,1,1,1,-,acept,not furnished,0,762,15,14
70,2,1,1,1,acept,not furnished,558,1200,0,16
45,1,1,1,4,not acept,furnished,300,3200,0,43
200,3,4,3,1,acept,not furnished,3500,8500,1250,108
100,3,3,3,-,acept,not furnished,0,4300,120,65
42,1,1,1,14,not acept,not furnished,0,5000,0,64
280,4,4,1,1,acept,furnished,3000,8000,292,102
28,1,1,1,13,not acept,furnished,615,2800,42,36
30,1,1,0,-,not acept,furnished,296,1826,30,24
85,3,2,1,1,acept,not furnished,337,1500,88,20
83,1,1,1,4,not acept,not furnished,500,1080,59,14
85,3,2,2,16,acept,furnished,550,3300,150,42
90,3,2,2,3,acept,not furnished,325,1600,105,22
50,2,1,0,5,acept,not furnished,0,900,100,12
50,1,1,0,8,acept,not furnished,600,2900,134,38
300,3,2,3,-,not acept,not furnished,0,6700,539,110
39,1,1,0,7,acept,not furnished,350,850,27,13
750,4,4,6,-,acept,not furnished,0,15000,2084,226
60,2,1,0,1,acept,not furnished,222,1100,46,17
68,2,1,0,4,not acept,not furnished,750,1250,9,17
70,2,1,1,-,acept,not furnished,230,1250,50,16
90,2,2,1,6,acept,furnished,900,6500,89,83
258,5,6,0,-,acept,not furnished,0,8700,670,133
200,2,2,6,-,acept,not furnished,0,4500,292,68
123,2,2,2,6,acept,not furnished,1800,2990,625,38
127,3,2,2,-,acept,furnished,220,2150,67,33
180,4,2,2,-,acept,not furnished,0,1800,210,30
110,3,2,0,-,not acept,not furnished,0,2900,384,44
70,2,2,1,7,acept,furnished,585,1719,77,23
35,1,1,1,8,acept,furnished,720,3000,130,39
219,3,2,2,-,acept,not furnished,0,2900,150,44
25,1,1,0,-,acept,not furnished,50,700,0,10
170,4,5,0,10,acept,not furnished,1200,7100,639,92
45,1,1,0,8,acept,not furnished,900,1570,98,21
420,4,4,2,-,not acept,not furnished,0,7000,200,115
46,1,1,0,4,acept,not furnished,0,1040,48,16
145,3,3,2,1,acept,furnished,1088,5800,250,74
59,2,2,1,2,acept,not furnished,190,1100,59,15
225,4,3,0,8,acept,not furnished,1850,7500,466,100
210,4,4,3,3,acept,not furnished,2270,4675,1110,60
76,1,1,0,-,acept,not furnished,209,1249,52,19
220,3,4,3,2,not acept,not furnished,2500,5150,1250,66
109,3,2,2,7,acept,not furnished,1746,2500,134,32
95,2,1,1,3,acept,not furnished,646,1000,120,14
32,1,1,0,-,not acept,not furnished,280,1500,50,20
480,4,6,5,9,acept,not furnished,6660,15000,3063,191
53,1,1,1,3,acept,not furnished,694,4390,200,56
40,1,1,0,-,not acept,not furnished,0,780,17,12
50,1,1,1,4,acept,furnished,500,3223,100,41
60,1,1,0,-,acept,not furnished,0,1300,255,20
64,2,2,2,7,not acept,not furnished,450,1500,50,22
140,3,3,2,4,acept,furnished,2280,12000,535,155
121,3,3,1,12,acept,not furnished,800,2040,334,26
43,1,1,1,4,acept,furnished,498,2100,84,27
20,1,1,1,3,not acept,furnished,1700,1360,0,18
58,2,1,1,3,acept,not furnished,289,950,11,13
570,5,6,7,-,acept,furnished,0,8330,873,137
88,2,1,1,2,acept,not furnished,980,2790,0,36
89,3,2,2,19,acept,not furnished,900,6000,184,77
47,1,1,1,1,not acept,furnished,400,2200,0,33
40,1,1,0,-,acept,not furnished,0,1100,50,17
40,1,1,0,1,acept,furnished,386,1950,91,26
60,1,2,1,3,acept,not furnished,400,750,80,10
25,1,1,0,14,acept,not furnished,257,1650,0,21
50,2,1,0,13,acept,not furnished,340,1130,30,17
90,3,1,0,1,acept,not furnished,145,1130,55,17
173,3,3,3,2,acept,not furnished,3000,2000,825,26
91,3,2,2,12,acept,not furnished,700,2250,175,29
90,3,2,2,6,not acept,not furnished,1710,1200,109,16
530,5,6,4,2,acept,furnished,8300,15000,5000,191
155,1,4,0,4,not acept,not furnished,1117000,2790,64,38
40,1,1,0,-,not acept,not furnished,0,1300,0,17
296,4,5,3,3,acept,not furnished,0,15000,0,191
87,3,2,1,17,acept,not furnished,850,1400,200,18
300,3,3,5,-,acept,not furnished,0,5000,584,76
136,3,3,3,13,acept,not furnished,1430,4206,364,54
52,2,1,0,4,acept,not furnished,0,1340,0,17
94,2,2,2,8,acept,not furnished,600,2900,230,43
300,4,5,3,7,acept,not furnished,3850,12750,750,165
100,3,3,1,3,acept,not furnished,850,3229,100,42
500,4,6,3,-,acept,not furnished,6466,7300,2536,110
240,3,4,3,3,acept,furnished,3600,4950,1000,63
308,2,3,3,-,acept,not furnished,0,2000,171,33
350,4,5,4,15,acept,furnished,2700,4590,1334,59
75,2,2,0,2,acept,not furnished,570,1450,0,19
155,3,2,3,4,acept,furnished,2600,11700,667,149
260,3,5,4,12,acept,not furnished,2227,6000,1468,77
80,2,2,1,-,not acept,not furnished,0,1500,184,23
85,3,1,1,6,acept,not furnished,810,1998,87,26
120,2,2,2,22,not acept,furnished,1400,3500,375,45
100,2,2,1,-,acept,not furnished,0,1970,0,30
240,4,5,4,6,not acept,not furnished,1869,3500,717,45
360,7,6,6,-,acept,not furnished,0,5270,245,80
42,1,1,0,-,not acept,not furnished,0,1100,0,17
33,1,1,1,14,acept,furnished,600,2800,112,36
48,1,1,0,1,not acept,not furnished,626,1020,53,14
36,1,1,0,5,acept,not furnished,350,1130,42,15
270,6,3,6,-,acept,not furnished,0,4500,417,68
75,2,1,1,2,acept,not furnished,670,1200,121,16
46,2,1,0,3,not acept,not furnished,270,1600,0,21
350,3,3,3,-,not acept,not furnished,0,10000,1292,151
131,3,3,1,10,acept,furnished,1625,1750,121,26
90,3,2,1,3,acept,not furnished,920,1300,129,17
26,1,1,0,4,not acept,not furnished,390,1650,120,22
44,1,1,0,3,acept,furnished,400,1100,14,15
70,2,2,0,-,acept,not furnished,0,1880,0,29
40,1,1,0,-,not acept,not furnished,0,900,0,15
320,4,2,4,-,acept,not furnished,0,3200,206,53
213,2,2,3,-,acept,not furnished,0,5150,0,78
80,2,1,0,1,not acept,not furnished,0,1100,0,14
70,1,1,0,6,acept,not furnished,500,800,30,11
60,2,1,1,5,acept,not furnished,690,1500,25,20
270,4,4,4,5,acept,not furnished,4500,12850,1834,163
70,2,1,1,3,acept,not furnished,800,1300,44,17
300,6,2,2,-,acept,not furnished,0,6000,242,107
220,4,5,3,14,acept,furnished,2050,12000,750,153
64,2,2,2,7,acept,not furnished,450,1600,34,24
80,3,3,1,7,not acept,not furnished,1100,1470,0,19
56,1,1,0,9,acept,furnished,625,2500,81,32
161,4,3,2,1,acept,not furnished,1450,10000,467,127
35,1,1,0,-,acept,not furnished,350,1350,0,18
720,4,6,5,-,acept,furnished,0,12750,2613,192
280,4,5,4,6,not acept,not furnished,2500,3200,750,41
96,3,2,0,2,acept,not furnished,408,2100,84,31
236,3,4,4,10,acept,not furnished,1600,11000,440,140
81,3,2,1,4,acept,not furnished,204,1510,0,20
62,2,1,1,1,acept,not furnished,580,1650,92,21
125,3,2,0,2,acept,not furnished,150,1200,69,16
37,1,1,1,6,acept,furnished,890,4150,110,53
60,2,2,1,11,acept,not furnished,1680,4000,200,51
230,4,2,3,1,acept,not furnished,3600,5000,1551,64
210,4,5,2,1,acept,furnished,3800,8500,0,108
450,4,3,8,-,acept,not furnished,0,14000,175,211
234,3,5,4,-,acept,furnished,0,3680,400,56
135,4,3,2,2,not acept,not furnished,868,2450,308,33
395,4,5,3,-,acept,not furnished,0,6000,122,91
92,2,2,1,2,acept,not furnished,450,1700,67,25
412,3,5,6,21,acept,not furnished,2000,3952,459,51
42,1,1,1,27,acept,not furnished,560,5300,100,68
33,1,1,0,12,not acept,furnished,385,3000,125,39
28,2,1,1,-,acept,not furnished,0,600,0,11
190,4,4,2,-,not acept,not furnished,0,4450,223,67
165,4,3,3,10,acept,furnished,2440,6300,1292,80
44,1,1,0,5,acept,not furnished,355,1200,20,18
60,2,1,1,4,acept,not furnished,603,1275,109,17
380,3,3,2,1,acept,not furnished,3580,11000,1084,140
73,2,1,0,4,acept,not furnished,375,830,120,11
19,1,1,0,5,acept,not furnished,620,1100,85,15
230,3,5,4,6,acept,not furnished,1800,7500,0,96
37,1,1,1,2,acept,not furnished,500,2500,0,37
124,3,2,3,7,acept,not furnished,1450,6600,300,84
115,3,2,1,8,acept,furnished,1090,2680,114,35
600,3,3,4,-,acept,not furnished,0,5500,384,83
700,5,5,4,-,acept,furnished,1380,15000,1667,229
35,1,1,0,1,acept,not furnished,100,815,17,12
15,1,1,0,3,not acept,furnished,0,1100,0,15
80,3,2,1,2,acept,not furnished,570,1450,125,19
48,1,1,0,4,acept,not furnished,200,700,38,11
96,3,2,1,2,acept,not furnished,922,1500,137,20
150,3,2,1,7,acept,furnished,1843,6715,340,86
105,3,2,2,2,not acept,not furnished,1681,3300,390,44
204,4,4,4,22,not acept,furnished,2701,10000,760,134
125,3,1,2,11,acept,not furnished,1317,2600,170,33
50,2,1,0,3,not acept,not furnished,490,2300,50,30
250,3,4,3,-,not acept,not furnished,0,3740,234,57
300,3,4,3,7,acept,furnished,3000,2000,1250,26
80,2,1,1,-,acept,not furnished,0,1500,55,23
130,3,4,1,2,not acept,not furnished,1200,1400,334,19
120,2,3,0,2,acept,not furnished,904,3300,195,42
540,3,3,4,9,acept,not furnished,6200,15000,3500,191
23,1,1,0,23,acept,not furnished,392,2100,41,27
15,1,1,0,-,not acept,furnished,0,2500,0,32
72,1,2,2,19,acept,not furnished,900,4000,200,51
95,3,2,2,7,acept,not furnished,985,2300,122,30
330,4,5,4,13,acept,not furnished,2870,10000,1119,127
75,2,2,2,7,not acept,furnished,1600,6600,400,84
53,1,1,1,4,acept,not furnished,690,4398,200,56
178,3,2,1,2,not acept,not furnished,1200,1900,180,25
150,3,2,0,-,acept,not furnished,0,4000,24,61
50,2,1,1,4,acept,not furnished,520,1200,30,16
150,3,2,1,-,not acept,not furnished,0,2500,59,38
25,1,1,0,-,acept,furnished,286,984,11,15
210,3,4,4,13,not acept,not furnished,3150,12000,1155,153
75,3,2,1,4,acept,not furnished,600,1500,75,20
200,2,4,3,12,acept,not furnished,1897,15000,827,200
350,4,4,0,-,acept,not furnished,0,8000,989,121
49,2,1,1,7,acept,not furnished,360,1150,30,17
40,1,1,0,4,not acept,furnished,0,2000,0,30
45,1,1,1,2,not acept,furnished,1900,4200,350,54
46,1,1,1,8,not acept,furnished,900,7600,118,97
80,2,2,2,15,acept,not furnished,2000,11000,0,140
30,1,1,0,3,acept,furnished,400,2850,0,37
80,2,2,2,-,acept,not furnished,50,2200,173,34
105,2,2,1,10,acept,not furnished,1780,1530,134,20
105,3,2,2,7,acept,not furnished,1170,2000,219,27
114,3,1,0,-,acept,not furnished,0,2570,150,39
200,3,3,4,-,acept,not furnished,0,7000,425,106
120,3,3,2,5,acept,not furnished,800,3000,167,44
60,2,2,1,11,acept,not furnished,647,4000,21,51
90,2,1,1,1,acept,not furnished,1000,3000,50,39
53,2,1,0,3,not acept,not furnished,535,1800,50,24
80,2,2,5,-,acept,not furnished,0,3000,59,46
87,4,2,2,4,acept,not furnished,784,1600,106,21
110,3,1,1,1,acept,not furnished,557,5000,188,65
113,4,2,1,3,acept,not furnished,1587,4000,429,54
170,3,2,2,5,not acept,not furnished,2199,5000,423,64
150,3,2,0,1,not acept,not furnished,700,3000,42,39
60,2,2,1,11,acept,not furnished,469,1500,51,22
43,1,1,0,4,not acept,furnished,290,2100,66,31
130,3,2,2,4,acept,furnished,800,3500,0,45
69,3,2,0,7,acept,furnished,650,1900,185,25
306,3,2,2,-,acept,not furnished,0,2500,422,38
187,3,2,3,-,acept,not furnished,500,3500,193,53
385,3,4,3,-,acept,not furnished,0,9000,1500,136
355,4,4,3,-,acept,not furnished,0,7300,660,110
90,2,1,1,2,acept,not furnished,405,1100,380,17
190,3,4,4,-,acept,not furnished,0,5000,275,76
181,2,1,2,-,acept,not furnished,0,1400,132,22
350,3,5,4,13,acept,not furnished,4000,3490,1750,45
168,5,3,2,2,acept,not furnished,1443,2900,408,39
73,2,1,0,1,acept,not furnished,1600,2800,204,37
378,5,5,4,4,acept,not furnished,4000,3000,2000,39
60,2,1,1,-,acept,not furnished,0,1300,180,20
362,4,5,0,19,not acept,not furnished,4138,15000,1975,200
90,3,2,0,-,acept,not furnished,0,1700,136,26
42,1,1,0,4,not acept,furnished,500,1973,79,26
56,2,1,1,18,acept,not furnished,568,1000,88,13
16,1,1,0,1,not acept,not furnished,0,850,30,11
90,2,2,2,15,not acept,furnished,1400,10000,0,127
67,1,1,0,13,acept,not furnished,375,850,55,12
488,4,3,3,-,acept,not furnished,14130,6400,1214,82
30,1,1,0,10,acept,not furnished,850,1100,60,15
290,6,3,4,-,acept,not furnished,0,8000,1525,121
266,3,3,4,10,acept,not furnished,4700,6400,1500,82
47,2,1,1,4,acept,not furnished,260,900,25,12
590,6,6,2,-,acept,furnished,750,8000,975,122
900,4,9,8,1,acept,not furnished,0,15000,5700,226
86,2,1,1,-,acept,not furnished,0,2200,110,34
290,3,3,2,-,acept,furnished,0,15000,1000,226
84,3,2,2,4,acept,not furnished,750,3300,100,49
160,3,1,2,-,acept,not furnished,0,5000,225,76
37,1,1,0,3,not acept,furnished,470,3500,127,45
73,3,1,1,4,acept,not furnished,308,850,46,11
350,4,5,5,17,acept,furnished,2400,15000,2400,191
57,1,1,0,2,acept,not furnished,200,1100,10,15
48,1,1,0,9,acept,not furnished,350,650,21,9
30,1,1,0,8,acept,not furnished,390,800,25,11
198,6,3,4,-,acept,not furnished,0,2000,145,31
47,1,1,0,2,not acept,not furnished,300,1000,59,15
60,2,1,1,3,acept,not furnished,250,800,22,12
230,3,3,0,9,acept,furnished,1700,5000,109,64
90,2,1,1,-,not acept,not furnished,0,1520,0,25
129,3,2,1,8,acept,furnished,1200,3255,167,42
240,4,4,4,22,acept,not furnished,1980,6672,417,85
55,1,1,0,14,acept,not furnished,700,1020,29,15
52,1,1,0,-,acept,not furnished,150,1200,42,18
250,3,4,3,8,acept,not furnished,1610,6000,1089,77
200,3,2,2,19,acept,not furnished,2573,10000,1121,127
312,4,3,3,1,acept,not furnished,1498,2300,463,31
230,5,5,3,-,acept,not furnished,0,9900,620,149
72,2,2,2,9,acept,not furnished,750,2480,209,32
55,2,1,0,5,acept,furnished,620,2400,24,31
72,2,2,1,2,not acept,furnished,914,3600,133,47
50,2,1,0,-,acept,not furnished,0,1200,83,19
17,1,1,0,1,acept,not furnished,0,2700,5,35
160,3,3,2,4,acept,not furnished,150,2400,263,32
214,4,4,3,5,acept,not furnished,2638,6520,1187,83
65,1,1,0,-,acept,not furnished,300,1800,30,24
136,3,2,1,10,not acept,furnished,1300,6500,267,47
70,2,2,1,6,acept,not furnished,440,1900,57,28
38,1,1,0,2,acept,not furnished,340,650,350,10
450,8,5,5,-,acept,not furnished,0,8000,1000,121
67,2,1,1,2,acept,not furnished,1217,2200,130,29
20,1,1,0,1,not acept,not furnished,0,1100,35,14
41,1,1,0,12,acept,not furnished,290,1530,60,20
50,2,1,1,7,acept,not furnished,500,1550,7,20
205,3,3,3,-,acept,not furnished,0,5525,575,84
100,3,2,1,-,acept,not furnished,0,3300,500,50
190,3,4,4,16,acept,furnished,2849,15000,1160,191
45,2,1,0,-,acept,not furnished,0,1350,0,23
57,1,1,1,2,acept,not furnished,605,800,66,11
88,1,2,2,3,acept,not furnished,340,1600,40,24
70,1,1,1,10,acept,furnished,459,3400,80,44
76,2,2,0,11,acept,furnished,646,2800,0,36
36,1,1,0,10,acept,not furnished,450,1370,29,18
61,2,2,2,11,acept,not furnished,445,2500,42,37
280,4,3,6,-,acept,furnished,0,12500,706,188
480,5,6,3,-,acept,not furnished,0,5000,1000,76
45,1,1,1,17,acept,furnished,0,1950,0,25
42,1,1,0,9,acept,furnished,1290,1500,184,20
62,2,1,0,4,acept,not furnished,352,736,28,11
38,2,1,0,2,acept,not furnished,90,1500,0,20
44,1,1,1,8,not acept,furnished,578,2400,0,31
75,3,2,2,11,acept,not furnished,630,2800,167,36
66,2,1,1,2,acept,not furnished,650,1250,0,17
125,3,3,2,-,acept,not furnished,0,2800,38,43
62,2,1,2,7,acept,not furnished,609,1500,90,20
77,2,1,1,5,acept,not furnished,1148,3100,464,40
136,2,4,2,7,acept,not furnished,1540,4800,242,61
200,4,2,1,5,acept,not furnished,2115,5000,328,64
35,1,1,0,1,not acept,not furnished,250,1305,0,17
250,4,3,2,-,acept,furnished,10,4500,100,68
90,2,2,2,-,acept,furnished,0,4100,0,62
72,2,2,1,7,acept,not furnished,480,850,9,11
168,3,3,5,16,acept,not furnished,1675,3500,184,45
360,3,4,3,5,acept,furnished,4000,13200,500,193
38,1,1,1,9,acept,not furnished,500,740,30,10
23,1,1,1,26,acept,not furnished,487,2300,59,30
440,3,3,3,7,not acept,not furnished,100,10500,84,154
120,3,3,2,9,acept,furnished,1200,3500,109,45
90,2,2,0,5,acept,not furnished,830,2500,84,33
125,4,2,0,7,acept,not furnished,1006,1632,150,14
200,3,4,3,6,acept,furnished,1800,5058,1200,65
190,3,3,2,5,acept,not furnished,1800,3260,292,42
123,3,2,1,3,acept,not furnished,363,2600,143,35
53,2,1,1,-,acept,not furnished,284,2000,41,26
70,2,1,1,2,acept,not furnished,560,2180,60,29
90,2,2,2,17,acept,furnished,1500,12200,454,155
95,3,2,0,-,acept,not furnished,0,1590,0,24
74,3,1,1,4,acept,not furnished,474,900,40,12
64,1,1,1,15,not acept,not furnished,620,3600,0,46
155,4,5,3,14,not acept,not furnished,1850,6000,625,77
125,3,1,2,3,not acept,not furnished,1000,2200,159,29
40,1,1,1,9,acept,furnished,350,1580,25,21
